Author,Chapter,Reference,Type,Intertextual_function,Semantic
Marx,2,Ricardo,Thematic,['3'],Neutral
Marx,2,Napoleon,Thematic,['3'],Neutral
Marx,2,English writer,Thematic,['3'],Neutral
Marx,2,French chemists,Thematic,['3'],Neutral
Marx,2,Bonaparte,Thematic,['3'],Neutral
Marx,2,Ricardo,Thematic,['3'],Negative
Marx,1,Ricardo,Nominal,['1'],Neutral
Marx,1,Sismondi,Thematic,['3'],Positive
Marx,1,Boisguillebert,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Robert Peel,Nominal,['1'],Neutral
Marx,2,William the Conqueror,Thematic,['3'],Neutral
Marx,1,Adam Smith,Nominal,['1'],Neutral
Marx,1,David Ricardo,Verbal,['2'],Positive
Marx,1,Mr. Owen,Thematic,['3'],Neutral
Marx,1,Lord Brougham,Nominal,['1'],Positive
Marx,2,Ricardo,Nominal,['1'],Positive
Marx,2,Hume,Thematic,['3'],Neutral
Marx,2,Ricardo,Thematic,['3'],Negative
Marx,2,Unidentified,Thematic,['3'],Neutral
Marx,2,Italian economists of the seventeenth century,Nominal,['1'],Neutral
Marx,2,LOCKE,Thematic,['3'],Neutral
Marx,2,MONTESQUIEU AND HUME,Nominal,['1'],Neutral
Marx,2,HUME,Thematic,['3'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,J. B. Say,Nominal,['3'],Negative
Marx,2,Johann Christoph Gottsched,Nominal,['1'],Neutral
Marx,2,Pietro Aretino,Nominal,['1'],Neutral
Marx,2,Adam,Nominal,['1'],Neutral
Marx,2,Biblical tradition,Nominal,['1'],Neutral
Marx,2,Steuart,Nominal,['1'],Neutral
Marx,2,Spinoza--Moses Mendelson,Nominal,['1'],Neutral
Marx,2,Maclaren,Nominal,['3'],Neutral
Marx,2,Ricardo--Hume,Nominal,['3'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Negative
Marx,2,Bosanquet,Thematic,['3'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Edward III,Nominal,['1'],Neutral
Marx,2,George,Thematic,['3'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hume,Nominal,['2'],Neutral
Marx,2,Ricardo,Thematic,['3'],Positive
Marx,2,Bullion Committee,Nominal,['1'],Positive
Marx,2,American mines,Thematic,['3'],Neutral
Marx,2,Threadneedle street,Nominal,['1'],Neutral
Marx,2,Bank of England,Thematic,['3'],Neutral
Marx,2,Whigs,Thematic,['1'],Neutral
Marx,2,Peace party,Thematic,['1'],Neutral
Marx,2,Law’s bank,Nominal,['2'],Neutral
Marx,2,English Colonies,Thematic,['3'],Neutral
Marx,2,Continental bills,Nominal,['2'],Neutral
Marx,2,American government,Thematic,['2'],Neutral
Marx,2,French _assignats_,Nominal,['2'],Neutral
Marx,2,Hume,Nominal,['1'],Neutral
Marx,2,Hume,Nominal,['1'],Negative
Marx,2,Locke,Verbal,['2'],Neutral
Marx,2,F. Engels,Thematic,['3'],Neutral
Marx,2,Ricardo,Nominal,['3'],Neutral
Marx,2,JAMES MILL,Verbal,['3'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Adam Smith,Nominal,['1'],Negative
Marx,1,Peruvians,Thematic,['3'],Neutral
Marx,1,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Steuart,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Ricardo,Thematic,['3'],Negative
Marx,2,Bullion Committee,Thematic,['3'],Neutral
Marx,2,Committee of the House of Lords,Thematic,['3'],Neutral
Marx,2,Hume,Nominal,['1'],Neutral
Marx,2,Hume’s followers,Verbal,['2'],Neutral
Marx,2,Unidentified 1,Nominal,['1'],Neutral
Marx,2,Sir James Steuart,Nominal,['1'],Neutral
Marx,2,Hume,Thematic,['3'],Neutral
Marx,2,Montesquieu,Nominal,['1'],Neutral
Marx,1,Franklin,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Moses & Son,Nominal,['1'],Neutral
Marx,2,Adam Smith,Nominal,['1'],Neutral
Marx,2,utopians,Verbal,['2'],Negative
Marx,1,physiocrats,Nominal,['1'],Neutral
Marx,1,Italian economists,Nominal,['2'],Neutral
Marx,1,Sir James Steuart,Nominal,['3'],Neutral
Marx,2,Steuart,Thematic,['3'],Neutral
Marx,2,Unidentified,Thematic,['3'],Neutral
Marx,2,Mill,Nominal,['1'],Neutral
Marx,2,Hume,Thematic,['3'],Negative
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Christian religion,Thematic,['2'],Neutral
Marx,2,Bourgeois political economy,Thematic,['3'],Neutral
Marx,2,Feudal system,Thematic,['3'],Neutral
Marx,2,Protestant criticism of Catholicism,Thematic,['2'],Neutral
Marx,2,F. Engels,Nominal,['3'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Carey,Nominal,['1'],Negative
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,pdf' 'format': 'PDF,Nominal,['1'],Neutral
Marx,2,pdf' 'subject': '' 'title': '' 'total_pages':,Nominal,['1'],Neutral
Marx,2,Jacob,Nominal,['1'],Neutral
Marx,2,Unidentified,Verbal,['2'],Neutral
Marx,2,F. Engels,Thematic,['3'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Boisguillebert,Nominal,['1'],Positive
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Roman civil law,Nominal,['1'],Neutral
Marx,2,Achilles,Nominal,['1'],Neutral
Marx,2,Iliad,Nominal,['1'],Neutral
Marx,2,Greek art,Nominal,['1'],Positive
Marx,2,epos,Nominal,['1'],Neutral
Marx,2,the muses,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,John Stuart Mill,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
